group,gene,rank,score,q,log2fc_default,log2fc_arithmetic,fraction_expressing,mean_normalized_count
4,KLRD1,230,1.1142742267304955,0.5805008759013299,0.51913671035037,0.6442952276631679,0.09458128078817735,0.5627422698601905
4,PRF1,155,2.261893698222094,0.06383641198003569,0.891338998320776,1.1517780699282418,0.13661740558292282,0.9847352269694527
4,FCGR3A,15844,-2.9987307277151904,0.008232299275572265,-0.8075559687542319,-0.8105752042612334,0.029885057471264367,0.13546298203517307
4,CD3D,22519,-19.955621980378453,3.363291949876684e-87,-1.4043160032146997,-1.1352803674416674,0.17274220032840723,0.7832493659178938
4,CD3E,22126,-16.233167133464473,5.1767669115978235e-58,-0.9660176267267764,-0.5605414366280999,0.1766830870279146,0.7674809308099226
4,TRAC,21575,-13.001712733712687,1.486820284416413e-37,-0.6476162183824309,-0.31453801204988874,0.21839080459770116,1.092510059812345
4,CD8A,17660,-4.719349015670594,9.455547192876973e-06,-0.24010968690268944,0.19314884518955985,0.0755336617405583,0.33744438350532335
4,CD8B,19839,-7.946167558574688,1.2353772675958733e-14,-1.3372519388719717,-1.1106669547942594,0.04827586206896552,0.1990864771838421
4,MS4A1,21393,-12.2634652330875,1.6110465962252812e-33,-3.320159853971723,-3.259206736574853,0.017405582922824302,0.0916010387931779
4,CD79A,22044,-15.691312495139213,2.8774761998446483e-54,-3.4519772937589956,-3.4875538996374513,0.021018062397372743,0.09795663678236563
4,CD14,20058,-8.404977152334611,2.927099662176705e-16,-2.827725719947587,-2.740823408310793,0.01444991789819376,0.07178468505051244
4,LYZ,20108,-8.5013485070053,1.3011971427321928e-16,-0.9520206011927903,-2.6971454154311236,0.2006568144499179,1.0355065429726473
4,FCER1A,15177,-2.47046660878516,0.03764190432421533,-2.979296145292999,-2.92410692075099,0.0022988505747126436,0.010708996294510895
4,CLEC10A,13374,-1.3313892268730652,0.41782632498609396,-2.481496968251958,-2.358573977469078,0.0019704433497536944,0.007276921892015469
